strategy_total_return,buy_hold_total_return,excess_total_return,strategy_sharpe,buy_hold_sharpe,strategy_max_dd,buy_hold_max_dd
-0.18939278661329983,0.1811922139757518,-0.37058500058905164,-1.8199941144311131,1.6266052391451429,-0.19488035461640885,-0.11162777862306539
-0.17785577180546908,0.33738643434845295,-0.515242206153922,-1.9188809196051124,3.128823706810459,-0.1816698589340121,-0.10132916942944081
-0.22078192853641276,0.28319669100354505,-0.5039786195399578,-2.5891293307715255,2.784982023381317,-0.23121936297191892,-0.10299752605880985
-0.21826238580642965,0.24159461476266442,-0.45985700056909407,-2.771237350699835,2.597893346879336,-0.24461935294146742,-0.08945831852906294
-0.29525588032024097,0.5471637095308022,-0.8424195898510431,-3.4768657493977653,4.635113390399138,-0.2901512815328554,-0.04817214446162266
-0.20290672476693927,0.2796414861461223,-0.48254821091306155,-2.2615517223385506,2.6661151864623522,-0.2150234620553001,-0.06418234709053872
-0.16548823838894733,0.3944057171755404,-0.5598939555644877,-1.876201559426831,3.7739220019058477,-0.18624136227056431,-0.08377658927386877
-0.24069534472604837,0.4885048689725884,-0.7292002136986367,-3.023811161125497,4.692906469540461,-0.252998881529782,-0.05085130415121797
-0.33151783976379423,0.6020968981557884,-0.9336147379195826,-3.781069833430953,4.7150933561169595,-0.3472980649709265,-0.06418234709053894
-0.10939106849909075,0.09234916304702279,-0.20174023154611354,-1.4161528158741297,1.2127850211884572,-0.12363015686906975,-0.11208919568670972
-0.12466957764167896,0.12064620491174027,-0.24531578255341924,-1.4703815211128581,1.4084449755026023,-0.15356594348054586,-0.0992384425776981
-0.10588845956333381,0.24387943227952968,-0.3497678918428635,-1.627755428500564,3.4211504779348783,-0.18998217276420692,-0.10310965978311859
-0.11240141029685147,0.02404232084959612,-0.1364437311464476,-1.3768875027557044,0.3646092336145497,-0.13558280032898595,-0.11751655353205281
-0.21071658820634076,0.22809792736666834,-0.4388145155730091,-2.404503098278313,2.2570124424768276,-0.23569161646133652,-0.0807791228405339
-0.21536721380496293,0.1316938185739236,-0.3470610323788865,-2.8462023160790597,1.5631259061906218,-0.23876099863501288,-0.0853801027174862
-0.2938120362454677,0.39967180439860117,-0.6934838406440689,-3.474697514622663,3.5610141142253267,-0.30949233532307574,-0.07186639778506454
-0.20561297579961801,0.44753032606189236,-0.6531433018615104,-2.0299288478447535,3.5947385735036366,-0.24620417647880366,-0.05042127162448096
-0.2022253677889162,0.13433837625160172,-0.3365637440405179,-2.792627790795943,1.66443234664264,-0.21223984860410117,-0.1050705607781619
-0.23151302489115289,0.5670860919013654,-0.7985991167925183,-2.2084147496805837,4.172118213383908,-0.24008162187035154,-0.061795762072963556
-0.10895486210157501,0.20345013550036506,-0.31240499760194007,-0.9187239151685497,1.7542488296640915,-0.19615976868440943,-0.09772431988849306
-0.13176352535603408,0.18171430328968552,-0.3134778286457196,-1.5763096088542081,2.0509674456736215,-0.1907435241093366,-0.07133112735511238
-0.24136335944665377,0.4212918303106883,-0.6626551897573421,-2.491951052027175,3.4288807908053633,-0.2518470053256856,-0.13736049394067418
-0.2797573946823858,0.4567200116480301,-0.7364774063304159,-3.157586164085571,3.875674897241095,-0.27028621955051224,-0.09690953802378954
-0.26883816323103105,0.3954403404270479,-0.664278503658079,-4.046878812508795,4.552933004392383,-0.28121075978286747,-0.04087339691520697
-0.2597042595569242,0.6507994153000614,-0.9105036748569856,-2.582009101062984,4.733657072423393,-0.25852650494423246,-0.04885067663336684
-0.26283873004584923,0.33518378771429513,-0.5980225177601444,-3.494542504453893,3.4983756383875644,-0.29263318350317735,-0.08501951501207272
-0.3195056720386428,0.5997788264508805,-0.9192844984895233,-4.319526629984604,5.611570137373682,-0.3212605228570805,-0.027750842090733308
-0.18242250303620677,0.15697868725638164,-0.3394011902925884,-1.7453010757357243,1.4420453980891583,-0.19337148425698347,-0.12924677071966728
-0.14370095970501817,0.31500459285048343,-0.4587055525555016,-1.5989261046778143,3.104235314054773,-0.15450783317679306,-0.1275504641665003
-0.11276769262071706,0.07434751659138206,-0.18711520921209912,-1.5162056044307173,1.0192913803737742,-0.15090703680091877,-0.06907733068807653
-0.1411544428647341,0.24737905699314888,-0.388533499857883,-1.7251449602384206,2.7309060141882098,-0.13138607363732602,-0.07588704292565285
